title,job_link,company,location,career,education,employment_type,salary,job_sector,register_date,deadline
재생E 전력거래 플랫폼기업 기술개발팀장(or C-Lv),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573130&location=ts&searchType=search&paid_fl=n&search_uuid=82ee70ec-4bce-4385-bf9c-9229285e34cc,엔터웨이파트너스,서울전체,경력8년↑,대졸↑,정규직,정보 없음,"SE(시스템엔지니어), 솔루션, 프론트엔드, 빅데이터, 소프트웨어개발",등록일 24/12/11,~ 01/10(금)
ag[글로벌/스타트업/IT골프플랫폼/이커머스]l 1.DB개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49557395&location=ts&searchType=search&paid_fl=n&search_uuid=fcf1016d-3ff6-435a-b822-98d56ecf5312,(주)에이치알글로벌네트워크,서울 광진구,경력 7~12년,대졸↑,정규직,정보 없음,"데이터분석가, 웹개발, 데이터마이닝, 데이터시각화, SQL",수정일 24/12/11,~ 12/24(화)
[상시채용] 서울 개발팀 각 부문별 계약직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535310&location=ts&searchType=search&paid_fl=n&search_uuid=82ee70ec-4bce-4385-bf9c-9229285e34cc,주식회사 대륜,서울 영등포구,경력무관,대졸↑,계약직,정보 없음,"데이터분석가, 백엔드/서버개발, 앱개발, 웹개발, API",수정일 24/12/11,상시채용
[씨티티디] 각 부문별 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49542211&location=ts&searchType=search&paid_fl=n&search_uuid=c6440ffd-94ff-4000-b0af-6bd44cb01994,(주)씨티티디,서울전체,신입·경력,학력무관,정규직,정보 없음,"백엔드/서버개발, 웹개발, 웹마스터, 유지보수, 퍼블리셔",수정일 24/12/09,~ 12/19(목)
Back-end Developer 영입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49401623&location=ts&searchType=search&paid_fl=n&search_uuid=fcf1016d-3ff6-435a-b822-98d56ecf5312,베스핀글로벌(주),서울 서초구,경력3년↑,대졸↑,정규직,정보 없음,"백엔드/서버개발, 모델링, 솔루션, 클라우드, API",수정일 24/11/18,채용시
(수),,,,,,,,,,
[강남본사] 각 부문 신입/경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543337&location=ts&searchType=search&paid_fl=n&search_uuid=c6440ffd-94ff-4000-b0af-6bd44cb01994,(주)성원아이북랜드,서울전체,신입·경력,초대졸↑,정규직·계약직,정보 없음,"백엔드/서버개발, 웹개발, 프론트엔드, ASP, CSS",수정일 24/12/06,~ 12/19(목)
"각 부문별 채용(재무/자금, IR/공시, 해외영업, 보안, 풍력발전기 개발 및 제어, 기구/기계설계, 웨어(F/W), 장바제어(S/W)등)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49544072&location=ts&searchType=search&paid_fl=n&search_uuid=c6440ffd-94ff-4000-b0af-6bd44cb01994,(주)디엠에스,경기 용인시 기흥구,신입·경력,대졸↑,정규직,정보 없음,"백엔드/서버개발, 보안컨설팅, 정보보안, 네트워크, 인프라",수정일 24/12/06,~ 12/22(일)
소프트웨어 솔루션 (PACS) 설치 엔지니어를 모집 (신입지원가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49550923&location=ts&searchType=search&paid_fl=n&search_uuid=c6440ffd-94ff-4000-b0af-6bd44cb01994,(주)이엠테크,경기 성남시 분당구,경력무관,학력무관,정규직,정보 없음,"기술지원, 유지보수, QA/테스터, SE(시스템엔지니어), 네트워크",수정일 24/12/10,~ 01/08(수)
[현대자동차 분사 스타트업 (주)매이드] 2025년 상반기 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535957&location=ts&searchType=search&paid_fl=n&search_uuid=c6440ffd-94ff-4000-b0af-6bd44cb01994,주식회사 매이드 (MADDE Inc.),서울 성동구,신입·경력,대졸↑,정규직,정보 없음,"알고리즘, H/W, S/W, C#, C++",수정일 24/12/10,~ 01/03(금)
